listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
2384,Hyde Park - Walk to University of Chicago,Private room in condo,private_room,https://a0.muscache.com/im/pictures/651a363b-b513-4192-9248-85927cb2ea65.jpg,37,2613,Rebecca,"","",false,41.7879,-87.5878,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Conditioner,Free street parking,Cleaning products,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub,Blender,Hot water,Body soap,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet",false,3,Strict,USD,0,0,255,4.99,5.0,5.0,5.0,5.0,5.0,4.9,17712.0,17712.0,122.4,122.4,0.4,0.4,48.5,48.5,49.1,49.1,144,4,221,365,4588.0,4588.0,133.3,133.3,0.4,0.0,51.0,51.0,0.0,0.0,34,0,56,90
7126,Tiny Studio Apartment 94 Walk Score,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/51073/16c81c7e_original.jpg,7,17928,Sarah,"","",true,41.9017,-87.6802,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Body soap,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Coffee maker,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Single level home,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Toaster,Bathtub",false,2,Moderate,USD,0,0,584,4.73,4.9,4.9,4.6,4.9,4.9,4.8,21776.0,21776.0,102.3,102.3,0.6,0.0,59.7,59.7,0.0,0.0,208,0,157,365,6830.0,6830.0,110.2,110.2,0.7,0.0,75.9,75.9,0.0,0.0,62,0,28,90
10945,The Biddle House (#1),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/58d1a420-a24b-485e-8342-7ddff83b2994.jpg,14,33004,Elizabeth,"","",true,41.9120,-87.6398,4,2,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Outdoor furniture,Heating,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",true,4,Strict,USD,0,0,125,4.74,4.8,4.8,4.8,4.9,5.0,4.7,48270.0,48270.0,190.6,190.6,0.7,0.8,132.2,132.2,155.2,155.2,243,54,122,365,16406.0,16406.0,220.1,220.1,0.8,0.8,182.3,182.3,184.3,184.3,74,1,16,90
12140,Lincoln Park Guest House,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12140/original/7ee8dd93-011e-439a-8eb8-d9f29cc3c54b.jpeg,13,46734,Shay And Robert,"","",false,41.9236,-87.6495,3,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Free parking on premises,Room-darkening shades,Hot water,Body soap,Conditioner,Bed linens,Free street parking,Heating,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",false,2,Moderate,USD,0,0,18,4.94,4.7,5.0,5.0,5.0,5.0,4.7,9761.0,9761.0,348.3,348.3,0.1,0.1,26.7,26.7,29.5,29.5,28,34,337,365,1419.0,1419.0,349.0,349.0,0.0,0.1,15.8,15.8,21.2,21.2,4,23,86,90
28749,Quirky Bucktown Loft w/ Parking No Parties,Entire loft,entire_home,https://a0.muscache.com/im/pictures/95884ff6-a672-48a9-8644-a1c847f532a0.jpg,23,27506,Lauri,"","",true,41.9202,-87.6796,6,3,3,2.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,2,Strict,USD,140,35,260,4.83,4.9,4.9,4.8,4.9,4.9,4.7,46489.0,46489.0,214.5,214.5,0.6,0.0,127.4,127.4,0.0,0.0,217,0,148,365,14597.0,14597.0,273.7,273.7,0.6,0.0,162.2,162.2,0.0,0.0,52,0,38,90
71930,"Rest, Relax and Explore",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/e881bea8-a003-4f86-9b1a-2012cf873899.jpg,30,334241,Michael And Veronica,41333855,Veronica,true,41.8961,-87.6793,,,1,0.0,false,"TV,Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Paid parking off premises,Hot water,Body soap,Breakfast,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Smoke alarm,BBQ grill,Shower gel,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Baking sheet,Barbecue utensils,Outdoor dining area",false,3,Firm,USD,60,40,136,4.9,4.9,5.0,4.8,5.0,4.8,4.8,20147.0,20147.0,104.2,104.2,0.5,0.5,55.2,55.2,56.6,56.6,192,9,173,365,8261.0,8261.0,106.4,106.4,0.9,0.0,91.8,91.8,0.0,0.0,77,0,13,90
94450,Comfy Garden Suite in Andersonville,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-94450/original/8883135c-e3d3-40b7-8735-b6a52a7e23e0.jpeg,23,504470,Mark,"","",true,41.9796,-87.6651,1,1,1,1.0,false,"TV,Blender,Wifi,Air conditioning,Lake access,Kitchen,Children’s dinnerware,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",false,3,Strict,USD,105,0,36,4.97,5.0,5.0,4.9,5.0,5.0,4.9,24270.0,24270.0,134.6,134.6,0.5,0.9,66.5,66.5,117.8,117.8,177,159,188,365,9835.0,9835.0,145.5,145.5,0.7,0.0,109.3,109.3,0.0,0.0,66,0,24,90
145659,Trendy Roscoe Village 3BR/2BR walk to shops,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/65ff405d-3f96-470b-99c8-6762e97c6209.jpg,35,683529,Joe,"","",true,41.9434,-87.6812,8,3,3,2.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,32,Strict,USD,0,0,77,4.78,4.8,4.8,4.9,4.6,4.9,4.7,12735.0,12735.0,265.2,265.2,0.1,0.1,34.9,34.9,35.9,35.9,47,10,318,365,4392.0,4392.0,299.6,299.6,0.2,0.2,48.8,48.8,52.3,52.3,15,6,75,90
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/852e366f-76ed-4476-b700-268083d2e5de.jpg,35,683529,Joe,"","",true,41.9129,-87.6386,10,4,4,2.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,32,Strict,USD,159,0,87,4.78,4.8,4.8,4.9,4.6,5.0,4.7,10053.0,10053.0,322.2,322.2,0.1,0.1,27.5,27.5,30.3,30.3,26,33,339,365,8978.0,8978.0,396.1,396.1,0.2,0.0,99.8,99.8,0.0,0.0,22,0,68,90
189821,"Best in Chicago, private, amazing garden space",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTg5ODIx/original/0e14ae6c-51a1-48c3-8bf5-d29cfda2e342.jpeg,51,899757,Meighan,"","",true,41.9292,-87.7022,5,2,3,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Outlet covers,Bathtub,Baby bath,High chair,Children’s books and toys,Blender,Window guards,Table corner guards,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",false,3,Firm,USD,60,0,703,4.95,5.0,5.0,4.9,5.0,4.9,4.9,65775.0,65775.0,261.0,261.0,0.7,0.0,180.2,180.2,0.0,0.0,250,0,115,365,20362.0,20362.0,285.0,285.0,0.8,0.0,226.2,226.2,0.0,0.0,72,0,18,90
