listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
3962072,2025-03-01,31,0,0.0,0.0,156.3,,,,3,,156.0,0.0
3962072,2025-01-01,31,0,0.0,0.0,96.5,,,,3,,97.0,0.0
3962072,2024-08-01,14,17,0.548,2743.0,165.0,161.4,34,2,,161.0,165.0,2743.0
3962072,2024-12-01,31,0,0.0,0.0,110.4,,,,3,,110.0,0.0
3962072,2024-09-01,11,19,0.633,2246.0,118.6,118.2,24,3,,118.0,119.0,2246.0
3962072,2024-11-01,26,4,0.133,444.0,110.5,111.0,1,2,,111.0,111.0,444.0
3962072,2025-04-01,18,12,0.4,2302.0,185.7,191.8,28,12,3,192.0,186.0,2302.0
3962072,2025-02-01,28,0,0.0,0.0,109.2,,,,3,,109.0,0.0
3962072,2024-10-01,5,26,0.839,2864.0,107.7,110.2,87,5,,110.0,108.0,2864.0
3962072,2025-06-01,5,25,0.833,4963.0,195.4,198.5,16,3,3,199.0,195.0,4963.0
3962072,2025-07-01,9,22,0.71,4682.0,210.3,212.8,70,6,3,213.0,210.0,4682.0
3962072,2025-05-01,20,11,0.355,2320.0,202.5,210.9,26,7,3,211.0,203.0,2320.0
5805991,2025-02-01,28,0,0.0,0.0,66.4,,,,25,,66.0,0.0
6363328,2025-02-01,22,6,0.214,677.0,114.7,112.8,5,3,3,113.0,115.0,677.0
5805991,2024-08-01,16,15,0.484,1032.0,69.3,68.8,6,6,,69.0,69.0,1032.0
3979320,2025-03-01,18,13,0.419,1589.0,117.6,122.2,45,3,3,122.0,118.0,1589.0
5805991,2025-04-01,30,0,0.0,0.0,69.9,,,,25,,70.0,0.0
3979320,2025-02-01,19,9,0.321,1002.0,110.3,111.3,,,3,111.0,110.0,1002.0
6363328,2024-08-01,8,23,0.742,2562.0,110.0,111.4,65,3,,111.0,110.0,2562.0
5805991,2025-06-01,30,0,0.0,0.0,64.3,,,,6,,64.0,0.0
3979320,2024-11-01,12,18,0.6,1956.0,108.2,108.7,111,2,,109.0,108.0,1956.0
6363328,2024-12-01,27,4,0.129,519.0,126.8,129.8,10,3,3,130.0,127.0,519.0
6363328,2024-11-01,16,14,0.467,1775.0,127.0,126.8,7,4,,127.0,127.0,1775.0
6363328,2024-09-01,9,21,0.7,2358.0,109.1,112.3,68,3,,112.0,109.0,2358.0
3979320,2025-01-01,19,12,0.387,1408.0,114.1,117.3,46,4,3,117.0,114.0,1408.0
5805991,2025-07-01,31,0,0.0,0.0,65.8,,,,12,,66.0,0.0
3979320,2024-08-01,5,26,0.839,2846.0,109.4,109.5,32,3,,110.0,109.0,2846.0
3979320,2025-04-01,17,13,0.433,1625.0,122.5,125.0,102,3,3,125.0,123.0,1625.0
6363328,2024-10-01,16,15,0.484,1597.0,104.9,106.5,81,2,,107.0,105.0,1597.0
3979320,2024-12-01,13,18,0.581,1948.0,109.4,108.2,83,2,3,108.0,109.0,1948.0
5805991,2025-03-01,31,0,0.0,0.0,70.1,,,,25,,70.0,0.0
5805991,2025-05-01,31,0,0.0,0.0,71.7,,,,16,,72.0,0.0
3979320,2024-10-01,11,20,0.645,2125.0,106.3,106.2,86,2,,106.0,106.0,2125.0
6363328,2025-01-01,31,0,0.0,0.0,117.2,,,,3,,117.0,0.0
3979320,2025-06-01,2,28,0.933,3901.0,139.2,139.3,208,3,3,139.0,139.0,3901.0
6363328,2025-04-01,8,22,0.733,2339.0,105.9,106.3,8,13,3,106.0,106.0,2339.0
6363328,2025-03-01,24,7,0.226,730.0,106.1,104.3,23,3,3,104.0,106.0,730.0
6363328,2025-05-01,8,23,0.742,2831.0,122.8,123.1,23,2,3,123.0,123.0,2831.0
5805991,2024-11-01,19,11,0.367,689.0,60.1,62.6,1,11,,63.0,60.0,689.0
5805991,2024-09-01,23,7,0.233,469.0,66.0,67.0,,,,67.0,66.0,469.0
6363328,2025-06-01,30,0,0.0,0.0,126.5,,,,28,,127.0,0.0
5805991,2024-12-01,31,0,0.0,0.0,59.8,,,,,,60.0,0.0
3979320,2025-05-01,2,29,0.935,3697.0,127.4,127.5,186,4,3,128.0,127.0,3697.0
5805991,2025-01-01,31,0,0.0,0.0,67.0,,,,25,,67.0,0.0
3979320,2025-07-01,11,20,0.645,3031.0,155.5,151.6,113,2,3,152.0,156.0,3031.0
5805991,2024-10-01,31,0,0.0,0.0,68.0,,,,,,68.0,0.0
6363328,2025-07-01,29,2,0.065,240.0,131.9,120.0,104,1,3,120.0,132.0,240.0
3979320,2024-09-01,4,26,0.867,2783.0,107.0,107.0,55,2,,107.0,107.0,2783.0
1620098,2024-10-01,16,15,0.484,2331.0,154.7,155.4,37,2,,155.0,155.0,2331.0
145690,2024-10-01,31,0,0.0,0.0,289.3,,,,,,289.0,0.0
1620098,2025-03-01,31,0,0.0,0.0,154.0,,,,28,,154.0,0.0
1620098,2025-04-01,30,0,0.0,0.0,171.4,,,,2,,171.0,0.0
145690,2025-01-01,28,3,0.097,799.0,252.1,266.3,,,32,266.0,252.0,799.0
1620098,2024-12-01,31,0,0.0,0.0,145.9,,,,32,,146.0,0.0
145690,2025-04-01,30,0,0.0,0.0,379.7,,,,32,,380.0,0.0
145690,2024-08-01,31,0,0.0,0.0,274.0,,,,,,274.0,0.0
1620098,2024-09-01,15,15,0.5,2307.0,153.7,153.8,15,6,,154.0,154.0,2307.0
145690,2025-05-01,31,0,0.0,0.0,392.0,,,,32,,392.0,0.0
145690,2024-09-01,30,0,0.0,0.0,295.8,,,,,,296.0,0.0
1620098,2025-02-01,28,0,0.0,0.0,139.6,,,,32,,140.0,0.0
1620098,2025-07-01,18,13,0.419,2162.0,166.0,166.3,34,3,2,166.0,166.0,2162.0
145690,2024-11-01,30,0,0.0,0.0,285.7,,,,,,286.0,0.0
145690,2025-06-01,24,6,0.2,2338.0,391.0,389.7,6,4,32,390.0,391.0,2338.0
145690,2025-07-01,15,16,0.516,6640.0,404.3,415.0,1,57,32,415.0,404.0,6640.0
1620098,2024-11-01,30,0,0.0,0.0,154.7,,,,,,155.0,0.0
145690,2024-12-01,30,1,0.032,276.0,281.0,276.0,13,4,,276.0,281.0,276.0
145690,2025-03-01,31,0,0.0,0.0,358.8,,,,32,,359.0,0.0
1620098,2025-05-01,21,10,0.323,1716.0,176.1,171.6,19,3,2,172.0,176.0,1716.0
1620098,2024-08-01,15,16,0.516,2471.0,153.7,154.4,29,2,,154.0,154.0,2471.0
1620098,2025-01-01,31,0,0.0,0.0,136.1,,,,32,,136.0,0.0
145690,2025-02-01,28,0,0.0,0.0,259.0,,,,32,,259.0,0.0
1620098,2025-06-01,4,26,0.867,4332.0,166.8,166.6,41,30,2,167.0,167.0,4332.0
979841,2024-10-01,5,26,0.839,2372.0,91.1,91.2,90,5,,91.0,91.0,2372.0
979841,2025-03-01,18,13,0.419,1193.0,92.0,91.8,14,2,2,92.0,92.0,1193.0
6716705,2025-07-01,31,0,0.0,0.0,322.1,,,,32,,322.0,0.0
6686012,2025-07-01,12,19,0.613,7708.0,403.5,405.7,20,3,2,406.0,404.0,7708.0
979841,2025-06-01,8,22,0.733,2067.0,94.6,94.0,27,4,2,94.0,95.0,2067.0
6716705,2024-12-01,31,0,0.0,0.0,272.5,,,,,,273.0,0.0
6686012,2025-06-01,17,13,0.433,4351.0,313.9,334.7,32,3,2,335.0,314.0,4351.0
6716705,2025-03-01,31,0,0.0,0.0,297.7,,,,32,,298.0,0.0
8926110,2024-09-01,30,0,0.0,0.0,78.1,,,,,,78.0,0.0
979841,2024-08-01,4,27,0.871,2465.0,91.1,91.3,80,3,,91.0,91.0,2465.0
6716705,2024-11-01,28,2,0.067,624.0,278.8,312.0,114,1,,312.0,279.0,624.0
6716705,2025-06-01,30,0,0.0,0.0,315.6,,,,32,,316.0,0.0
8926110,2024-11-01,30,0,0.0,0.0,77.9,,,,,,78.0,0.0
8926110,2024-10-01,31,0,0.0,0.0,77.7,,,,,,78.0,0.0
979841,2025-07-01,13,18,0.581,1696.0,94.7,94.2,47,2,2,94.0,95.0,1696.0
979841,2025-01-01,31,0,0.0,0.0,90.2,,,,2,,90.0,0.0
979841,2024-09-01,13,17,0.567,1536.0,90.1,90.4,44,2,,90.0,90.0,1536.0
6686012,2024-10-01,3,28,0.903,5638.0,198.2,201.4,115,2,,201.0,198.0,5638.0
6686012,2024-09-01,2,28,0.933,6379.0,226.9,227.8,66,2,,228.0,227.0,6379.0
6716705,2025-02-01,28,0,0.0,0.0,259.0,,,,32,,259.0,0.0
8926110,2024-12-01,31,0,0.0,0.0,77.3,,,,,,77.0,0.0
6686012,2024-12-01,8,23,0.742,3943.0,160.8,171.4,109,2,2,171.0,161.0,3943.0
8926110,2025-06-01,1,29,0.967,2540.0,87.4,87.6,71,4,2,88.0,87.0,2540.0
6716705,2024-08-01,29,2,0.065,733.0,352.7,366.5,1,2,,367.0,353.0,733.0
6686012,2025-03-01,9,22,0.71,3940.0,171.6,179.1,25,2,2,179.0,172.0,3940.0
6716705,2025-05-01,31,0,0.0,0.0,304.0,,,,32,,304.0,0.0
6716705,2025-04-01,30,0,0.0,0.0,298.0,,,,32,,298.0,0.0
6686012,2025-01-01,15,16,0.516,2067.0,128.3,129.2,82,2,2,129.0,128.0,2067.0
6686012,2025-04-01,18,12,0.4,2223.0,178.0,185.2,40,2,2,185.0,178.0,2223.0
979841,2025-02-01,26,2,0.071,182.0,90.1,91.0,38,13,2,91.0,90.0,182.0
6686012,2025-05-01,8,23,0.742,5781.0,244.8,251.3,44,3,2,251.0,245.0,5781.0
8926110,2025-04-01,18,12,0.4,963.0,80.3,80.2,18,2,2,80.0,80.0,963.0
8926110,2025-05-01,3,28,0.903,2300.0,81.9,82.1,61,5,2,82.0,82.0,2300.0
979841,2025-05-01,11,20,0.645,1854.0,93.2,92.7,60,2,2,93.0,93.0,1854.0
6686012,2024-11-01,9,21,0.7,3969.0,181.0,189.0,52,2,,189.0,181.0,3969.0
8926110,2025-02-01,24,4,0.143,311.0,74.4,77.8,30,4,2,78.0,74.0,311.0
6686012,2024-08-01,7,24,0.774,6662.0,260.3,277.6,52,2,,278.0,260.0,6662.0
979841,2024-11-01,8,22,0.733,2003.0,90.7,91.0,75,2,,91.0,91.0,2003.0
6686012,2025-02-01,15,13,0.464,1790.0,134.5,137.7,17,3,2,138.0,135.0,1790.0
8926110,2025-01-01,31,0,0.0,0.0,77.1,,,,2,,77.0,0.0
8926110,2025-03-01,27,4,0.129,319.0,78.6,79.8,10,4,2,80.0,79.0,319.0
979841,2025-04-01,23,7,0.233,652.0,92.3,93.1,35,2,2,93.0,92.0,652.0
8926110,2024-08-01,31,0,0.0,0.0,78.4,,,,,,78.0,0.0
8926110,2025-07-01,14,17,0.548,1586.0,97.7,93.3,70,3,2,93.0,98.0,1586.0
6716705,2024-10-01,25,6,0.194,1964.0,320.5,327.3,2,6,,327.0,321.0,1964.0
6716705,2024-09-01,19,11,0.367,3819.0,344.7,347.2,8,5,,347.0,345.0,3819.0
979841,2024-12-01,27,4,0.129,356.0,89.5,89.0,77,2,2,89.0,90.0,356.0
6716705,2025-01-01,31,0,0.0,0.0,246.5,,,,32,,247.0,0.0
8485642,2024-12-01,22,9,0.29,998.0,118.2,110.9,159,9,2,111.0,118.0,998.0
8485642,2025-04-01,30,0,0.0,0.0,102.3,,,,2,,102.0,0.0
8181598,2025-02-01,28,0,0.0,0.0,70.2,,,,2,,70.0,0.0
8181598,2025-05-01,21,10,0.323,829.0,82.8,82.9,31,2,2,83.0,83.0,829.0
8181598,2024-12-01,0,31,1.0,2166.0,69.9,69.9,55,15,2,70.0,70.0,2166.0
8485642,2024-08-01,6,25,0.806,4879.0,193.5,195.2,98,2,,195.0,194.0,4879.0
8181598,2025-01-01,31,0,0.0,0.0,71.0,,,,2,,71.0,0.0
8181598,2025-03-01,29,2,0.065,143.0,74.3,71.5,20,2,2,72.0,74.0,143.0
8485642,2024-09-01,5,25,0.833,4651.0,200.4,186.0,111,2,,186.0,200.0,4651.0
8181598,2025-06-01,12,18,0.6,1639.0,90.8,91.1,19,4,2,91.0,91.0,1639.0
8485642,2025-06-01,23,7,0.233,724.0,103.8,103.4,237,7,2,103.0,104.0,724.0
8181598,2025-04-01,30,0,0.0,0.0,77.6,,,,2,,78.0,0.0
8181598,2025-07-01,15,16,0.516,1370.0,86.1,85.6,42,1,2,86.0,86.0,1370.0
8181598,2024-08-01,12,19,0.613,1353.0,70.9,71.2,39,2,,71.0,71.0,1353.0
8485642,2024-10-01,11,20,0.645,3426.0,200.7,171.3,78,2,,171.0,201.0,3426.0
8485642,2025-03-01,31,0,0.0,0.0,94.6,,,,2,,95.0,0.0
8485642,2025-05-01,31,0,0.0,0.0,104.5,,,,2,,105.0,0.0
8485642,2025-01-01,31,0,0.0,0.0,102.3,,,,2,,102.0,0.0
8485642,2025-02-01,28,0,0.0,0.0,91.4,,,,2,,91.0,0.0
8181598,2024-11-01,24,6,0.2,427.0,71.5,71.2,18,6,,71.0,72.0,427.0
8181598,2024-09-01,17,13,0.433,934.0,71.3,71.8,19,2,,72.0,71.0,934.0
8181598,2024-10-01,12,19,0.613,1380.0,71.7,72.6,51,3,,73.0,72.0,1380.0
8485642,2024-11-01,14,16,0.533,1639.0,100.8,102.4,119,4,,102.0,101.0,1639.0
8485642,2025-07-01,31,0,0.0,0.0,106.5,,,,2,,107.0,0.0
6793653,2025-02-01,28,0,0.0,0.0,255.4,,,,32,,255.0,0.0
6793653,2025-03-01,28,3,0.097,818.0,310.5,272.7,3,1,32,273.0,311.0,818.0
6793653,2025-05-01,26,5,0.161,2038.0,386.7,407.6,54,3,32,408.0,387.0,2038.0
