listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
315201,Quaint Bedroom in Downtown/Midtown Area,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-315201/original/7f84e901-d8c7-4848-a8f8-7d22ea1185e6.jpeg,28,962245,Jerry,"","",false,29.7367,-95.3734,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Free street parking,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Rice maker,Blender,Room-darkening shades,Game console,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",false,15,Firm,USD,50,0,8,4.75,4.6,4.9,4.6,4.9,4.5,4.5,635.0,635.0,63.8,63.8,0.027,0.029,1.7,1.7,1.9,1.9,10,24,355,365,635.0,635.0,63.5,63.5,0.111,0.152,7.1,7.1,9.6,9.6,10,24,80,90
356761,Modern/Charming Heights Garage Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a92f61f3-a849-4417-a4d2-a9cf69a4c37e.jpg,12,1805766,Charles,"","",false,29.8059,-95.3950,2,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pets allowed,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Outdoor dining area",false,7,Moderate,USD,99,0,64,4.91,4.9,5.0,4.9,4.9,5.0,4.7,9428.0,9428.0,106.2,106.2,0.241,0.26,25.8,25.8,27.8,27.8,88,26,277,365,5514.0,5514.0,109.0,109.0,0.556,0.617,61.3,61.3,68.1,68.1,50,9,40,90
598304,Honey Bee Apartment in Nature Habitat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b9fbf66a-a245-4f5f-b536-249d252bdfd4.jpg,39,2955486,Selia,"","",true,29.7962,-95.5486,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Breakfast,Conditioner,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,2,Moderate,USD,40,0,70,4.87,4.9,4.9,4.8,5.0,4.7,4.8,1512.0,1512.0,117.2,117.2,0.036,0.0,4.1,4.1,0.0,0.0,13,0,352,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
672941,❤️ Staycation Cr2 Family Museums Zoo & Park~2Bedrm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-672941/original/5f9c1af1-f53d-421a-aa80-ca4ed28f312f.jpeg,41,3403755,Helen And Mario,"","",false,29.7313,-95.3771,6,2,3,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Room-darkening shades,Ceiling fan,Hot water,Bed linens,Free street parking,Ethernet connection,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Bathtub",false,2,Firm,USD,55,0,210,4.63,4.7,4.9,4.5,4.9,4.8,4.6,2343.0,2343.0,107.6,107.6,0.06,0.065,6.4,6.4,7.0,7.0,22,28,343,365,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90
692578,Flamingo House  1/1 w W/D,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/6364b828-75f1-4df3-b3cf-fa74ad97d657.jpg,12,3395129,Kendra,"","",true,29.7417,-95.3984,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",false,1,Strict,USD,0,0,282,4.82,4.8,4.9,4.7,4.9,5.0,4.8,2023.0,2023.0,85.1,85.1,0.066,0.078,5.5,5.5,6.6,6.6,24,59,341,365,2023.0,2023.0,84.9,84.9,0.267,0.774,22.5,22.5,65.3,65.3,24,59,66,90
734329,"Luxury Experience with Pool, walk to Museums",Entire home,entire_home,https://a0.muscache.com/im/pictures/10413898/ea3e6783_original.jpg,62,3827788,Hans,"","",false,29.7264,-95.3938,4,2,3,2.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Conditioner,Mini fridge,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Blender,Game console,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",false,3,Firm,USD,95,0,62,4.85,4.9,4.9,4.9,5.0,4.9,4.8,11253.0,11253.0,370.5,370.5,0.082,0.096,30.8,30.8,35.8,35.8,30,51,335,365,0.0,0.0,353.8,353.8,0.0,0.0,0.0,0.0,0.0,0.0,0,22,90,90
750957,Carriage House apartment - central!,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/8ab4bc48-e55b-4d9d-83a3-fcc040e78447.jpg,15,3948551,Stephen,16594477,Joseph,true,29.7339,-95.4069,4,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Ceiling fan,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Backyard,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Freezer,Private entrance,Toaster,Bathtub",false,7,Moderate,USD,0,0,40,4.88,4.9,5.0,4.4,5.0,5.0,4.8,8324.0,8324.0,108.4,108.4,0.216,0.693,22.8,22.8,73.0,73.0,79,251,286,365,1215.0,1215.0,108.9,108.9,0.122,0.306,13.5,13.5,33.8,33.8,11,54,79,90
929577,Centrally Located near Inner Loop A,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-929577/original/db79a257-5880-4678-b3d9-448ede646d69.jpeg,16,5003499,David,"","",false,29.8182,-95.4535,3,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Refrigerator,Hair dryer,Hot water,Heating,Iron",false,4,Moderate,USD,0,0,39,4.69,4.9,5.0,4.7,4.9,4.3,4.6,14045.0,14045.0,80.1,80.1,0.479,0.509,38.5,38.5,40.8,40.8,175,21,190,365,5423.0,5423.0,82.4,82.4,0.744,0.971,60.3,60.3,78.6,78.6,67,21,23,90
970969,Centrally Located Near Inner Loop C,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-970969/original/4cbc06cd-9489-48c0-9b7d-bf13e216fedf.jpeg,16,5003499,David,88915937,Connor,false,29.8182,-95.4535,4,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Heating",false,4,Moderate,USD,50,0,39,4.76,4.7,4.9,4.6,4.8,4.3,4.6,9082.0,9082.0,81.5,81.5,0.312,0.477,24.9,24.9,38.0,38.0,114,126,251,365,2275.0,2275.0,90.7,90.7,0.3,0.466,25.3,25.3,39.2,39.2,27,32,63,90
1051570,Centrally Located Near Inner Loop D,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16127124/80aeedb8_original.jpg,9,5003499,David,"","",false,29.8182,-95.4535,3,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Hangers,Dining table,Hair dryer,Hot water,Iron,Freezer,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage",false,4,Moderate,USD,0,0,27,4.3,4.7,4.9,4.6,4.8,4.3,4.3,1427.0,1427.0,84.6,84.6,0.047,0.062,3.9,3.9,5.2,5.2,17,93,348,365,684.0,684.0,87.0,87.0,0.089,0.348,7.6,7.6,29.7,29.7,8,67,82,90
