listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
14186115,2025-01-01,5,26,0.839,1907.0,73.1,73.3,29,2,2,73.0,73.0,1907.0
4144606,2025-01-01,31,0,0.0,0.0,106.5,,,,30,,107.0,0.0
12760483,2024-12-01,31,0,0.0,0.0,97.2,,,,,,97.0,0.0
14186115,2024-10-01,1,30,0.968,1928.0,64.1,64.3,33,2,,64.0,64.0,1928.0
14186115,2025-05-01,1,30,0.968,2371.0,78.3,79.0,40,2,1,79.0,78.0,2371.0
12760483,2025-06-01,19,11,0.367,1096.0,99.2,99.6,32,5,2,100.0,99.0,1096.0
12760483,2024-11-01,30,0,0.0,0.0,97.3,,,,,,97.0,0.0
14186115,2025-03-01,4,27,0.871,1948.0,71.0,72.1,37,2,2,72.0,71.0,1948.0
4144606,2025-07-01,31,0,0.0,0.0,81.5,,,,30,,82.0,0.0
14186115,2025-02-01,1,27,0.964,1807.0,67.4,66.9,25,2,2,67.0,67.0,1807.0
12760483,2025-05-01,29,2,0.065,206.0,107.9,103.0,2,2,2,103.0,108.0,206.0
12760483,2025-08-01,28,3,0.097,302.0,97.8,100.7,12,3,2,101.0,98.0,302.0
4144606,2024-12-01,31,0,0.0,0.0,106.0,,,,,,106.0,0.0
14186115,2024-12-01,1,30,0.968,1927.0,64.1,64.2,34,2,2,64.0,64.0,1927.0
12760483,2025-04-01,30,0,0.0,0.0,100.5,,,,2,,101.0,0.0
14186115,2025-07-01,3,28,0.903,2817.0,101.0,100.6,24,2,2,101.0,101.0,2817.0
4144606,2025-04-01,23,7,0.233,715.0,95.8,102.1,,,29,102.0,96.0,715.0
4144606,2025-05-01,31,0,0.0,0.0,85.5,,,,30,,86.0,0.0
14186115,2025-08-01,3,28,0.903,2674.0,95.4,95.5,40,3,2,96.0,95.0,2674.0
12760483,2025-01-01,29,2,0.065,192.0,96.2,96.0,1,2,2,96.0,96.0,192.0
4144606,2025-06-01,30,0,0.0,0.0,83.2,,,,30,,83.0,0.0
12760483,2024-10-01,31,0,0.0,0.0,97.1,,,,,,97.0,0.0
12760483,2024-09-01,13,17,0.567,1651.0,97.2,97.1,23,4,,97.0,97.0,1651.0
12760483,2025-07-01,31,0,0.0,0.0,95.1,,,,2,,95.0,0.0
14186115,2024-09-01,2,28,0.933,1780.0,63.5,63.6,45,1,,64.0,64.0,1780.0
4144606,2024-10-01,31,0,0.0,0.0,107.1,,,,,,107.0,0.0
4144606,2025-03-01,18,13,0.419,1309.0,99.0,100.7,1,20,30,101.0,99.0,1309.0
14186115,2025-04-01,2,28,0.933,2077.0,74.0,74.2,35,2,2,74.0,74.0,2077.0
4144606,2025-08-01,31,0,0.0,0.0,77.4,,,,30,,77.0,0.0
14186115,2025-06-01,0,30,1.0,2561.0,85.4,85.4,31,2,2,85.0,85.0,2561.0
4144606,2024-11-01,30,0,0.0,0.0,106.3,,,,,,106.0,0.0
4144606,2025-02-01,22,6,0.214,594.0,103.6,99.0,66,6,30,99.0,104.0,594.0
12760483,2025-03-01,29,2,0.065,192.0,95.6,96.0,3,2,2,96.0,96.0,192.0
12760483,2025-02-01,27,1,0.036,95.0,95.8,95.0,1,1,2,95.0,96.0,95.0
4144606,2024-09-01,30,0,0.0,0.0,106.9,,,,,,107.0,0.0
14186115,2024-11-01,2,28,0.933,1844.0,65.7,65.9,39,2,,66.0,66.0,1844.0
13377678,2025-01-01,19,12,0.387,599.0,49.8,49.9,1,12,7,50.0,50.0,599.0
13377678,2025-04-01,30,0,0.0,0.0,46.9,,,,7,,47.0,0.0
10801270,2024-10-01,21,10,0.323,635.0,63.2,63.5,14,3,,64.0,63.0,635.0
13377678,2025-08-01,31,0,0.0,0.0,44.9,,,,7,,45.0,0.0
5857293,2025-06-01,25,5,0.167,301.0,58.5,60.2,8,2,2,60.0,59.0,301.0
13377678,2025-03-01,31,0,0.0,0.0,50.1,,,,7,,50.0,0.0
13377678,2025-07-01,31,0,0.0,0.0,43.7,,,,7,,44.0,0.0
10801270,2025-05-01,2,29,0.935,2128.0,73.0,73.4,12,47,2,73.0,73.0,2128.0
13377678,2025-06-01,30,0,0.0,0.0,44.3,,,,7,,44.0,0.0
10801270,2024-09-01,8,22,0.733,1412.0,64.0,64.2,14,5,,64.0,64.0,1412.0
5857293,2025-05-01,16,15,0.484,817.0,55.6,54.5,4,15,2,55.0,56.0,817.0
13377678,2024-12-01,31,0,0.0,0.0,50.0,,,,,,50.0,0.0
13377678,2024-11-01,30,0,0.0,0.0,52.1,,,,,,52.0,0.0
5857293,2025-04-01,30,0,0.0,0.0,54.2,,,,2,,54.0,0.0
5857293,2025-03-01,22,9,0.29,497.0,54.7,55.2,,,2,55.0,55.0,497.0
5857293,2025-02-01,15,13,0.464,727.0,55.2,55.9,12,7,2,56.0,55.0,727.0
13377678,2025-02-01,28,0,0.0,0.0,48.7,,,,7,,49.0,0.0
5857293,2024-12-01,24,7,0.226,413.0,58.1,59.0,16,2,,59.0,58.0,413.0
10801270,2025-02-01,5,23,0.821,1537.0,66.1,66.8,16,6,2,67.0,66.0,1537.0
5857293,2024-09-01,29,1,0.033,54.0,57.0,54.0,1,1,,54.0,57.0,54.0
13377678,2025-05-01,31,0,0.0,0.0,45.0,,,,7,,45.0,0.0
10801270,2025-03-01,9,22,0.71,1411.0,62.9,64.1,40,3,2,64.0,63.0,1411.0
10801270,2025-01-01,31,0,0.0,0.0,71.2,,,,2,,71.0,0.0
5857293,2025-01-01,22,9,0.29,516.0,56.8,57.3,8,3,2,57.0,57.0,516.0
10801270,2025-04-01,22,8,0.267,564.0,63.7,70.5,7,4,2,71.0,64.0,564.0
5857293,2024-11-01,24,6,0.2,338.0,56.7,56.3,7,2,,56.0,57.0,338.0
13377678,2024-09-01,30,0,0.0,0.0,49.1,,,,,,49.0,0.0
13377678,2024-10-01,31,0,0.0,0.0,49.7,,,,,,50.0,0.0
5857293,2024-10-01,17,14,0.452,784.0,55.4,56.0,38,4,,56.0,55.0,784.0
10801270,2025-07-01,21,10,0.323,844.0,76.8,84.4,14,10,2,84.0,77.0,844.0
5857293,2025-07-01,6,25,0.806,1420.0,56.5,56.8,28,12,2,57.0,57.0,1420.0
10801270,2025-06-01,8,22,0.733,1721.0,83.8,78.2,67,2,2,78.0,84.0,1721.0
10801270,2024-12-01,23,8,0.258,443.0,57.4,55.4,3,8,,55.0,57.0,443.0
5857293,2025-08-01,29,2,0.065,111.0,58.2,55.5,1,2,2,56.0,58.0,111.0
10801270,2024-11-01,11,19,0.633,1213.0,64.5,63.8,21,4,,64.0,65.0,1213.0
10801270,2025-08-01,20,11,0.355,844.0,71.2,76.7,10,3,2,77.0,71.0,844.0
12081079,2025-01-01,31,0,0.0,0.0,44.0,,,,,,44.0,0.0
12081079,2025-08-01,31,0,0.0,0.0,48.3,,,,14,,48.0,0.0
12081079,2025-06-01,8,22,0.733,1066.0,48.4,48.5,1,5,,49.0,48.0,1066.0
12081079,2025-03-01,31,0,0.0,0.0,44.1,,,,,,44.0,0.0
12081079,2025-04-01,30,0,0.0,0.0,47.1,,,,,,47.0,0.0
12081079,2024-09-01,30,0,0.0,0.0,43.4,,,,,,43.0,0.0
12081079,2024-11-01,30,0,0.0,0.0,43.4,,,,,,43.0,0.0
12081079,2024-12-01,31,0,0.0,0.0,43.8,,,,,,44.0,0.0
12081079,2024-10-01,31,0,0.0,0.0,43.2,,,,,,43.0,0.0
12081079,2025-02-01,28,0,0.0,0.0,44.5,,,,,,45.0,0.0
12081079,2025-05-01,9,22,0.71,1057.0,48.1,48.0,,,,48.0,48.0,1057.0
12081079,2025-07-01,31,0,0.0,0.0,48.2,,,,14,,48.0,0.0
13202058,2024-10-01,21,10,0.323,1238.0,114.7,123.8,18,3,,124.0,115.0,1238.0
13615418,2025-06-01,18,12,0.4,1029.0,85.9,85.8,1,12,2,86.0,86.0,1029.0
13615418,2025-04-01,30,0,0.0,0.0,89.6,,,,2,,90.0,0.0
13202058,2025-05-01,30,1,0.032,185.0,123.7,185.0,1,1,3,185.0,124.0,185.0
13202058,2025-07-01,25,6,0.194,684.0,112.5,114.0,18,7,1,114.0,113.0,684.0
13615418,2024-10-01,27,4,0.129,354.0,87.8,88.5,11,2,,89.0,88.0,354.0
13615418,2025-07-01,31,0,0.0,0.0,89.7,,,,2,,90.0,0.0
13202058,2025-06-01,20,10,0.333,1087.0,112.8,108.7,15,13,3,109.0,113.0,1087.0
13202058,2025-02-01,25,3,0.107,308.0,95.0,102.7,6,7,3,103.0,95.0,308.0
13202058,2025-03-01,19,12,0.387,1359.0,111.9,113.2,1,30,3,113.0,112.0,1359.0
13615418,2024-12-01,28,3,0.097,263.0,88.0,87.7,1,3,,88.0,88.0,263.0
13615418,2024-09-01,23,7,0.233,591.0,85.7,84.4,1,9,,84.0,86.0,591.0
13202058,2025-04-01,1,29,0.967,3165.0,109.4,109.1,,,3,109.0,109.0,3165.0
13615418,2025-05-01,31,0,0.0,0.0,86.8,,,,2,,87.0,0.0
13202058,2024-11-01,19,11,0.367,1147.0,99.7,104.3,1,11,,104.0,100.0,1147.0
13615418,2025-03-01,31,0,0.0,0.0,94.5,,,,2,,95.0,0.0
13202058,2025-08-01,27,4,0.129,452.0,112.4,113.0,,,1,113.0,112.0,452.0
13615418,2024-11-01,30,0,0.0,0.0,88.9,,,,,,89.0,0.0
13615418,2025-08-01,31,0,0.0,0.0,89.8,,,,2,,90.0,0.0
13615418,2025-01-01,31,0,0.0,0.0,85.7,,,,2,,86.0,0.0
13202058,2025-01-01,17,14,0.452,1228.0,90.5,87.7,1,14,3,88.0,91.0,1228.0
13202058,2024-12-01,31,0,0.0,0.0,96.8,,,,3,,97.0,0.0
13202058,2024-09-01,18,12,0.4,1296.0,106.9,108.0,1,11,,108.0,107.0,1296.0
13615418,2025-02-01,28,0,0.0,0.0,87.6,,,,2,,88.0,0.0
5857567,2024-09-01,30,0,0.0,0.0,144.7,,,,,,145.0,0.0
15445591,2025-02-01,5,23,0.821,2011.0,86.0,87.4,33,2,1,87.0,86.0,2011.0
15445591,2025-06-01,12,18,0.6,2451.0,128.3,136.2,44,2,1,136.0,128.0,2451.0
15445591,2025-08-01,17,14,0.452,1625.0,122.3,116.1,20,1,1,116.0,122.0,1625.0
5857567,2024-11-01,30,0,0.0,0.0,144.7,,,,,,145.0,0.0
15445591,2024-09-01,9,21,0.7,2257.0,107.4,107.5,11,1,,108.0,107.0,2257.0
5857567,2025-05-01,31,0,0.0,0.0,140.0,,,,2,,140.0,0.0
5857567,2025-07-01,22,9,0.29,1248.0,138.4,138.7,15,9,2,139.0,138.0,1248.0
15445591,2024-12-01,8,23,0.742,2247.0,91.0,97.7,22,2,1,98.0,91.0,2247.0
15445591,2025-05-01,12,19,0.613,2276.0,112.8,119.8,15,2,1,120.0,113.0,2276.0
5857567,2025-02-01,28,0,0.0,0.0,145.6,,,,2,,146.0,0.0
5857567,2025-04-01,30,0,0.0,0.0,141.5,,,,2,,142.0,0.0
15445591,2025-01-01,12,19,0.613,1912.0,91.3,100.6,24,1,1,101.0,91.0,1912.0
15445591,2025-04-01,15,15,0.5,1653.0,107.4,110.2,18,1,1,110.0,107.0,1653.0
15445591,2024-11-01,11,19,0.633,2223.0,105.4,117.0,19,2,,117.0,105.0,2223.0
5857567,2025-03-01,31,0,0.0,0.0,144.0,,,,2,,144.0,0.0
5857567,2025-06-01,23,7,0.233,992.0,141.3,141.7,5,7,2,142.0,141.0,992.0
5857567,2024-12-01,31,0,0.0,0.0,141.6,,,,,,142.0,0.0
15445591,2025-07-01,20,11,0.355,1257.0,114.5,114.3,13,2,1,114.0,115.0,1257.0
5857567,2025-08-01,31,0,0.0,0.0,145.0,,,,2,,145.0,0.0
15445591,2025-03-01,6,25,0.806,3290.0,127.1,131.6,33,2,1,132.0,127.0,3290.0
15445591,2024-10-01,16,15,0.484,1632.0,105.7,108.8,9,1,,109.0,106.0,1632.0
5857567,2025-01-01,31,0,0.0,0.0,144.7,,,,2,,145.0,0.0
5857567,2024-10-01,31,0,0.0,0.0,144.9,,,,,,145.0,0.0
2841791,2025-07-01,31,0,0.0,0.0,86.1,,,,14,,86.0,0.0
7807067,2025-01-01,20,11,0.355,1114.0,99.6,101.3,,,4,101.0,100.0,1114.0
7807067,2024-11-01,19,11,0.367,1126.0,101.9,102.4,46,5,,102.0,102.0,1126.0
14767896,2025-02-01,12,16,0.571,1817.0,113.6,113.6,4,2,3,114.0,114.0,1817.0
7807067,2024-12-01,8,23,0.742,2352.0,102.1,102.3,58,11,,102.0,102.0,2352.0
2841791,2024-10-01,19,12,0.387,1118.0,92.9,93.2,1,9,,93.0,93.0,1118.0
7807067,2025-05-01,31,0,0.0,0.0,103.8,,,,4,,104.0,0.0
7807067,2025-04-01,30,0,0.0,0.0,101.7,,,,4,,102.0,0.0
7807067,2024-09-01,0,30,1.0,3009.0,100.3,100.3,7,21,,100.0,100.0,3009.0
14767896,2024-12-01,10,21,0.677,2461.0,117.6,117.2,95,2,3,117.0,118.0,2461.0
2841791,2025-01-01,24,7,0.226,648.0,92.2,92.6,84,2,14,93.0,92.0,648.0
2841791,2024-11-01,24,6,0.2,561.0,95.8,93.5,23,2,,94.0,96.0,561.0
7807067,2025-07-01,31,0,0.0,0.0,116.4,,,,4,,116.0,0.0
7807067,2025-06-01,30,0,0.0,0.0,116.3,,,,4,,116.0,0.0
2841791,2025-05-01,0,31,1.0,2820.0,91.0,91.0,40,2,14,91.0,91.0,2820.0
14767896,2025-04-01,8,22,0.733,2508.0,114.1,114.0,45,4,3,114.0,114.0,2508.0
14767896,2024-10-01,0,31,1.0,3665.0,118.2,118.2,,,,118.0,118.0,3665.0
2841791,2025-08-01,31,0,0.0,0.0,87.6,,,,14,,88.0,0.0
14767896,2025-01-01,20,11,0.355,1256.0,113.7,114.2,4,2,3,114.0,114.0,1256.0
7807067,2025-03-01,31,0,0.0,0.0,96.6,,,,4,,97.0,0.0
2841791,2024-12-01,21,10,0.323,963.0,95.5,96.3,142,5,,96.0,96.0,963.0
14767896,2024-11-01,1,29,0.967,3369.0,116.0,116.2,75,5,,116.0,116.0,3369.0
2841791,2025-04-01,15,15,0.5,1371.0,93.0,91.4,56,45,14,91.0,93.0,1371.0
14767896,2025-06-01,0,30,1.0,3468.0,115.6,115.6,,,3,116.0,116.0,3468.0
2841791,2024-09-01,0,30,1.0,2795.0,93.2,93.2,15,8,,93.0,93.0,2795.0
2841791,2025-06-01,18,12,0.4,1056.0,90.8,88.0,30,11,14,88.0,91.0,1056.0
14767896,2025-07-01,0,31,1.0,3660.0,118.1,118.1,,,3,118.0,118.0,3660.0
14767896,2025-05-01,4,27,0.871,3042.0,112.6,112.7,41,29,3,113.0,113.0,3042.0
14767896,2025-03-01,1,30,0.968,3461.0,115.3,115.4,55,7,3,115.0,115.0,3461.0
