listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
2708,"Run Runyon, Beaut Furn Mirror Mini-Suit w/ Firplc!",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2708/original/a0f97f99-97c9-4bcf-87fa-6f7497312898.jpeg,185,3008,⁨Chas.⁩,"","",true,34.0963,-118.3461,,,1,0.0,false,"Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Gym,Breakfast,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Fireplace guards,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,30,Moderate,USD,109,0,44,4.86,4.8,5.0,4.9,5.0,5.0,4.9,5661.0,5661.0,85.5,85.5,0.2,0.3,15.5,15.5,24.8,24.8,66,137,299,365,414.0,414.0,78.5,78.5,0.1,0.3,4.6,4.6,14.8,14.8,8,62,82,90
6931,"RUN Runyon, Beau Furn Rms Terrace Hollyw Hill View",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/61edcec0-5e94-452e-94be-0b1b40b8fae5.jpg,210,3008,⁨Chas.⁩,"","",true,34.0963,-118.3437,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Gym,Breakfast,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Movie theater,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,EV charger,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,30,Strict,USD,89,0,37,4.86,4.8,4.9,4.9,4.9,4.7,4.8,15341.0,15341.0,94.7,94.7,0.4,0.7,42.0,42.0,64.7,64.7,161,128,204,365,3682.0,3682.0,73.5,73.5,0.5,0.8,40.9,40.9,61.4,61.4,48,30,42,90
7992,Quiet/Cozy/Clean/Walkable Quaint Area,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/d46d140a-58db-4336-b35d-e3ea87d39621.jpg,73,22363,Tom,"","",true,34.1136,-118.2607,3,1,2,1.0,true,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Gym,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Rice maker,Outlet covers,High chair,Baby safety gates,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,31,Flexible,USD,0,,293,4.95,5.0,5.0,4.9,5.0,4.9,4.9,10540.0,10540.0,103.0,103.0,0.3,0.8,28.9,28.9,73.2,73.2,110,221,255,365,0.0,0.0,109.9,109.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
8021,5-Star Beverly Hills Suite,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-8021/original/be0a6b20-d0fc-4f9d-8b01-aa5735a78a2e.jpeg,33,22460,Sherree Strong,"","",false,34.0602,-118.3791,,,2,0.0,false,"TV,Ping pong table,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Bathtub,Blender,Fireplace guards,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",false,31,Moderate,USD,75,0,241,4.81,4.9,4.9,4.8,4.9,4.9,4.8,5679.0,5679.0,102.1,102.1,0.1,0.2,15.6,15.6,17.0,17.0,54,30,311,365,983.0,983.0,95.2,95.2,0.1,0.1,10.9,10.9,13.7,13.7,10,18,80,90
14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3aa316df-f6ba-48cd-b5ea-ebce4cceac6d.jpg,20,55411,Hank Bubbie,"","",true,34.1135,-118.3215,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,4,Strict,USD,200,0,58,4.95,5.0,5.0,5.0,5.0,5.0,4.9,46500.0,46500.0,278.7,278.7,0.5,0.6,127.4,127.4,158.2,158.2,165,71,200,365,8115.0,8115.0,286.2,286.2,0.3,0.5,90.2,90.2,142.4,142.4,28,33,62,90
15089,*The Cottage at Casa Redondo & Rabbit Sanctuary,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/7e006359-efcc-4acd-8a90-a3520b1fd663.jpg,57,59169,Josh,"","",true,34.0428,-118.3521,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Pocket wifi,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Baking sheet",true,30,Strict,USD,150,17,97,4.8,4.7,4.8,4.7,4.9,4.8,4.7,23609.0,23609.0,123.8,123.8,0.5,0.6,64.7,64.7,78.7,78.7,183,65,182,365,5474.0,5474.0,153.7,153.7,0.4,0.6,60.8,60.8,91.2,91.2,38,30,52,90
15333,The Enchanted Manor-Private Oasis,Entire vacation home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-15333/original/bc6e1887-64d9-4bd8-bcd5-009ebb580ddf.jpeg,73,60057,Georgia,"","",false,34.1661,-118.4124,6,2,10,1.0,false,"TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Outdoor furniture,Hot tub,Coffee maker,Indoor fireplace,Refrigerator,Fire pit,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",false,2,Firm,USD,185,0,13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8937.0,8937.0,689.7,689.7,0.0,0.0,24.5,24.5,0.0,0.0,13,0,352,365,4235.0,4235.0,693.3,693.3,0.1,0.0,47.1,47.1,0.0,0.0,6,0,84,90
18041,Boho home w/detached Studio &Jacuzzi,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-18041/original/0c502087-2742-472b-a780-935e56908f6e.jpeg,38,69546,Lisa,"","",true,33.9918,-118.4506,8,3,3,2.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Pets allowed,Record player,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Blender,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,31,Strict,USD,0,0,5,4.8,5.0,5.0,4.4,5.0,5.0,5.0,5505.0,5505.0,352.4,352.4,0.0,0.1,15.1,15.1,22.9,22.9,14,125,351,365,5505.0,5505.0,391.5,391.5,0.2,0.2,61.2,61.2,70.6,70.6,14,12,76,90
18067,Bohemian Haven with Rooftop Jacuzzi and Tiki Bar,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-18067/original/abc41f0a-29fa-4cd8-99bd-36315e8b8aa0.jpeg,47,69546,Lisa,"","",true,33.9912,-118.4516,5,2,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Pets allowed,Record player,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Bathtub,Children’s books and toys,Blender,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,1,Firm,USD,0,0,71,4.5,4.4,4.8,4.1,4.7,4.7,4.3,16178.0,16178.0,240.2,240.2,0.2,0.2,44.3,44.3,49.8,49.8,68,40,297,365,9324.0,9324.0,241.2,241.2,0.4,0.5,103.6,103.6,111.0,111.0,38,6,52,90
18433,Great Hotel Alternative,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-18433/original/96d83988-24e8-4de0-a3b1-47a86b578749.jpg,16,70988,Giuditta,"","",true,33.9912,-118.4405,,3,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Conditioner,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Clothing storage,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Bowling alley,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Rice maker,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Dining table,Baking sheet,Toaster",false,30,Strict,USD,0,0,12,4.83,4.7,5.0,4.7,4.9,4.8,4.6,8219.0,8219.0,69.1,69.1,0.3,0.4,22.5,22.5,28.5,28.5,116,77,249,365,2784.0,2784.0,74.8,74.8,0.4,0.6,30.9,30.9,48.8,48.8,36,33,54,90
