listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
6931,2025-06-01,12,18,0.6,1282.0,72.4,71.2,114,9,30,71.0,72.0,1282.0
6931,2025-03-01,15,16,0.516,1667.0,99.9,104.2,22,23,30,104.0,100.0,1667.0
6931,2025-04-01,1,29,0.967,2841.0,97.6,98.0,24,22,30,98.0,98.0,2841.0
6931,2024-11-01,3,27,0.9,2912.0,108.1,107.9,75,45,,108.0,108.0,2912.0
6931,2025-05-01,0,31,1.0,2518.0,81.2,81.2,56,31,30,81.0,81.0,2518.0
6931,2025-02-01,28,0,0.0,0.0,81.9,,,,30,,82.0,0.0
6931,2024-12-01,6,25,0.806,2591.0,101.6,103.6,2,7,,104.0,102.0,2591.0
6931,2024-09-01,29,1,0.033,109.0,108.6,109.0,22,1,,109.0,109.0,109.0
6931,2025-07-01,30,1,0.032,67.0,68.2,67.0,,,30,67.0,68.0,67.0
6931,2024-08-01,19,12,0.387,1263.0,107.9,105.2,24,1,,105.0,108.0,1263.0
6931,2024-10-01,31,0,0.0,0.0,110.1,,,,,,110.0,0.0
6931,2025-01-01,30,1,0.032,91.0,97.5,91.0,1,1,30,91.0,98.0,91.0
1798928,2025-07-01,13,18,0.581,3401.0,187.2,188.9,,,31,189.0,187.0,3401.0
921737,2024-08-01,30,1,0.032,126.0,125.4,126.0,1,30,,126.0,125.0,126.0
746115,2025-05-01,2,29,0.935,7566.0,259.5,260.9,122,2,2,261.0,260.0,7566.0
1798928,2025-03-01,10,21,0.677,3745.0,179.3,178.3,,,31,178.0,179.0,3745.0
746115,2025-04-01,3,27,0.9,6678.0,246.8,247.3,105,3,3,247.0,247.0,6678.0
746115,2024-08-01,6,25,0.806,5968.0,239.0,238.7,72,2,,239.0,239.0,5968.0
921737,2025-06-01,30,0,0.0,0.0,116.7,,,,31,,117.0,0.0
746115,2024-09-01,2,28,0.933,6429.0,230.3,229.6,176,3,,230.0,230.0,6429.0
746115,2025-02-01,12,16,0.571,3676.0,227.4,229.8,9,2,3,230.0,227.0,3676.0
921737,2025-07-01,31,0,0.0,0.0,119.5,,,,31,,120.0,0.0
1798928,2024-09-01,30,0,0.0,0.0,181.4,,,,,,181.0,0.0
1798928,2024-10-01,31,0,0.0,0.0,182.9,,,,,,183.0,0.0
1798928,2025-04-01,23,7,0.233,1226.0,181.1,175.1,31,41,31,175.0,181.0,1226.0
921737,2025-01-01,31,0,0.0,0.0,122.6,,,,31,,123.0,0.0
921737,2024-12-01,31,0,0.0,0.0,119.3,,,,31,,119.0,0.0
921737,2025-04-01,30,0,0.0,0.0,150.4,,,,31,,150.0,0.0
1798928,2024-08-01,1,30,0.968,5344.0,177.9,178.1,,,,178.0,178.0,5344.0
921737,2024-11-01,30,0,0.0,0.0,112.0,,,,,,112.0,0.0
746115,2024-12-01,6,25,0.806,5575.0,220.4,223.0,74,3,3,223.0,220.0,5575.0
1798928,2025-02-01,0,28,1.0,4707.0,168.1,168.1,,,31,168.0,168.0,4707.0
921737,2025-03-01,31,0,0.0,0.0,138.3,,,,31,,138.0,0.0
1798928,2025-06-01,20,10,0.333,1818.0,187.2,181.8,1,25,31,182.0,187.0,1818.0
921737,2025-05-01,31,0,0.0,0.0,137.9,,,,31,,138.0,0.0
746115,2025-06-01,2,28,0.933,8011.0,285.3,286.1,91,3,2,286.0,285.0,8011.0
746115,2025-03-01,8,23,0.742,5597.0,241.9,243.3,15,4,3,243.0,242.0,5597.0
746115,2025-07-01,2,29,0.935,7835.0,269.7,270.2,85,3,2,270.0,270.0,7835.0
921737,2025-02-01,26,2,0.071,257.0,123.7,128.5,43,1,31,129.0,124.0,257.0
1798928,2025-01-01,29,2,0.065,322.0,170.0,161.0,13,51,31,161.0,170.0,322.0
921737,2024-09-01,1,29,0.967,3646.0,125.7,125.7,,,,126.0,126.0,3646.0
746115,2024-10-01,0,31,1.0,7321.0,236.2,236.2,174,3,,236.0,236.0,7321.0
1798928,2024-12-01,27,4,0.129,727.0,176.8,181.8,1,4,,182.0,177.0,727.0
921737,2024-10-01,1,30,0.968,3688.0,122.2,122.9,32,30,,123.0,122.0,3688.0
1798928,2024-11-01,30,0,0.0,0.0,182.5,,,,,,183.0,0.0
746115,2024-11-01,6,24,0.8,5359.0,221.8,223.3,79,3,,223.0,222.0,5359.0
1798928,2025-05-01,0,31,1.0,5806.0,187.3,187.3,,,31,187.0,187.0,5806.0
746115,2025-01-01,11,20,0.645,4539.0,226.6,226.9,59,3,2,227.0,227.0,4539.0
1056743,2024-11-01,28,2,0.067,194.0,98.0,97.0,,,,97.0,98.0,194.0
1056743,2024-09-01,29,1,0.033,88.0,95.4,88.0,10,34,,88.0,95.0,88.0
752388,2025-06-01,25,5,0.167,626.0,126.9,125.2,1,5,30,125.0,127.0,626.0
752388,2024-10-01,0,31,1.0,4167.0,134.4,134.4,,,,134.0,134.0,4167.0
752388,2024-09-01,29,1,0.033,133.0,134.4,133.0,1,39,,133.0,134.0,133.0
1056743,2024-10-01,0,31,1.0,3018.0,97.4,97.4,,,,97.0,97.0,3018.0
1056743,2025-07-01,31,0,0.0,0.0,116.4,,,,31,,116.0,0.0
1056743,2025-05-01,31,0,0.0,0.0,114.5,,,,31,,115.0,0.0
752388,2025-05-01,31,0,0.0,0.0,124.8,,,,30,,125.0,0.0
