listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
16545,Charming - Your Miami 2 BR Home !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93502145/af5c2f45_original.jpg,39,64311,Ana Marilu,592207811,Gabriel,false,25.6838,-80.3985,5,2,4,2.5,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Portable fans,Hot water,Conditioner,Bed linens,Trash compactor,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",false,2,Moderate,USD,150,0,118,4.66,4.7,4.8,4.7,4.8,4.8,4.7,36713.0,36713.0,133.2,133.2,0.8,0.8,100.6,100.6,102.6,102.6,275,7,90,365,9214.0,9214.0,145.5,145.5,0.7,0.8,102.4,102.4,111.0,111.0,64,7,26,90
222181,Cozy Family home with a pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-222181/original/c753a200-f1a7-405e-a135-798dc790e2be.jpeg,27,1153161,Mila,"","",true,25.8445,-80.1875,5,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,Children’s books and toys,Hot water,Body soap,Bed linens,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Dining table,Toaster",false,4,Firm,USD,140,0,29,4.83,4.9,5.0,4.6,5.0,4.8,4.7,42783.0,42783.0,325.1,325.1,0.4,0.4,117.2,117.2,128.1,128.1,129,31,236,365,3458.0,3458.0,301.7,301.7,0.1,0.2,38.4,38.4,58.6,58.6,11,31,79,90
294368,"WELCOME TO PARADISE MIAMI, FLORIDA",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/13350491/0d2ff97f_original.jpg,31,1521854,Maria Luisa,"","",true,25.7611,-80.2033,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Conditioner,Outdoor furniture,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",false,3,Strict,USD,25,0,678,4.92,4.9,5.0,4.9,5.0,4.9,4.9,18504.0,18504.0,61.1,61.1,0.8,0.0,50.7,50.7,0.0,0.0,305,0,60,365,4585.0,4585.0,69.1,69.1,0.7,0.0,50.9,50.9,0.0,0.0,67,0,23,90
300366,JUST WHERE YOU WANT IT- EFFICIENCY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/37639464/963cb81d_original.jpg,21,1521854,Maria Luisa,"","",true,25.7609,-80.2036,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,BBQ grill,Backyard,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",false,90,Strict,USD,1566,0,23,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4584.0,4584.0,49.2,49.2,0.3,0.0,12.6,12.6,0.0,0.0,92,0,273,365,0.0,0.0,43.7,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
343840,"THE LIBRARY ROOM MIAMI, FLORIDA",Private room in home,private_room,https://a0.muscache.com/im/pictures/15943173/94516db5_original.jpg,47,1521854,Maria Luisa,"","",true,25.7611,-80.2033,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,4,Strict,USD,25,0,508,4.9,5.0,4.9,4.9,5.0,4.9,4.9,16425.0,16425.0,60.4,60.4,0.8,0.0,45.0,45.0,0.0,0.0,275,0,90,365,2997.0,2997.0,65.4,65.4,0.5,0.0,33.3,33.3,0.0,0.0,47,0,43,90
346667,chic and cozy apt in great miami area near all!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-346667/original/46fd9b27-daad-4141-a6f5-631f59632dca.jpeg,39,1762510,Marisa,"","",true,25.7600,-80.2222,4,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Backyard,Long term stays allowed,Dining table,Toaster",false,3,Moderate,USD,180,0,181,4.91,4.9,5.0,4.9,5.0,4.8,4.8,21827.0,21827.0,147.1,147.1,0.4,0.4,59.8,59.8,60.3,60.3,153,3,212,365,6120.0,6120.0,142.2,142.2,0.5,0.5,68.0,68.0,70.3,70.3,44,3,46,90
650708,Charming Coconut Grove Cottage,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/8454155/88ed2bc3_original.jpg,14,3268322,Michelle,"","",false,25.7241,-80.2502,2,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",false,3,Moderate,USD,125,0,68,4.88,4.9,5.0,4.8,5.0,4.9,4.8,3121.0,3121.0,155.2,155.2,0.1,0.2,8.6,8.6,29.2,29.2,20,258,345,365,1536.0,1536.0,154.9,154.9,0.1,0.1,17.1,17.1,18.7,18.7,10,8,80,90
688025,"Private accommodation in Miami, near FIU, UM.",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-688025/original/649fff05-539e-486c-9431-590d2ee993d9.jpeg,115,3512229,Judith,"13733791,95603051","Sebastian,Paula Estefania",false,25.7138,-80.3735,4,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Mini fridge,Free street parking,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Outlet covers,High chair,Blender,Window guards,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",false,31,Moderate,USD,0,0,120,4.43,4.6,4.7,4.5,4.6,4.4,4.5,31306.0,31306.0,138.5,138.5,0.6,0.7,85.8,85.8,95.2,95.2,226,36,139,365,8378.0,8378.0,146.3,146.3,0.7,0.7,93.1,93.1,96.3,96.3,59,3,31,90
864229,Lovely  and  good location Apt Mia,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/2ff79a61-ae8e-449f-b3ee-be5effc39ced.jpg,19,4534520,Joel,"","",true,25.7693,-80.2702,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Trash compactor,Laundromat nearby,Outdoor furniture,Hammock,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Window guards,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Single level home,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",false,2,Strict,USD,0,15,217,4.94,4.9,5.0,5.0,4.9,4.9,4.9,9818.0,9818.0,80.5,80.5,0.3,0.3,26.9,26.9,27.0,27.0,115,1,250,365,2499.0,2499.0,94.6,94.6,0.3,0.3,27.8,27.8,28.1,28.1,25,1,65,90
952005,"Charming \"jungle house\" in Miami",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/d0194df4-52b1-46b9-aac5-0db0ec87428e.jpg,30,5166733,Iveta,"","",false,25.8532,-80.1792,4,2,2,2.0,false,"TV,Cable TV,Children’s books and toys,Blender,Wifi,Air conditioning,Babysitter recommendations,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Outdoor furniture,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Toaster,Bathtub",false,7,Flexible,USD,0,0,66,4.72,4.8,4.8,4.6,4.9,4.6,4.8,4967.0,4967.0,150.2,150.2,0.1,0.0,13.6,13.6,0.0,0.0,34,0,331,365,2897.0,2897.0,136.9,136.9,0.2,0.0,32.2,32.2,0.0,0.0,21,0,69,90
