listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
10657645,2024-12-01,28,3,0.097,330.0,106.3,110.0,74,11,3,110.0,106.0,330.0
10657645,2024-08-01,31,0,0.0,0.0,104.4,,,,,,104.0,0.0
10389752,2024-08-01,15,16,0.516,2041.0,123.9,127.6,1,16,,128.0,124.0,2041.0
10657645,2025-06-01,19,11,0.367,1239.0,110.2,112.6,,,3,113.0,110.0,1239.0
10657645,2025-07-01,31,0,0.0,0.0,113.7,,,,3,,114.0,0.0
10389752,2025-02-01,16,12,0.429,2506.0,208.9,208.8,1,8,28,209.0,209.0,2506.0
10657645,2025-03-01,16,15,0.484,1640.0,108.4,109.3,27,3,3,109.0,108.0,1640.0
10389752,2024-10-01,6,25,0.806,3416.0,140.8,136.6,,,,137.0,141.0,3416.0
10389752,2025-07-01,31,0,0.0,0.0,194.0,,,,28,,194.0,0.0
10657645,2024-10-01,31,0,0.0,0.0,86.4,,,,,,86.0,0.0
10389752,2025-01-01,23,8,0.258,1500.0,186.7,187.5,1,14,28,188.0,187.0,1500.0
10389752,2024-11-01,21,9,0.3,1575.0,168.2,175.0,31,13,,175.0,168.0,1575.0
10657645,2025-02-01,2,26,0.929,2524.0,97.0,97.1,6,7,3,97.0,97.0,2524.0
10657645,2025-01-01,0,31,1.0,3384.0,109.2,109.2,51,27,3,109.0,109.0,3384.0
10657645,2024-11-01,30,0,0.0,0.0,105.7,,,,,,106.0,0.0
10389752,2025-06-01,30,0,0.0,0.0,198.6,,,,28,,199.0,0.0
10389752,2025-04-01,28,2,0.067,387.0,194.3,193.5,,,28,194.0,194.0,387.0
10657645,2025-04-01,28,2,0.067,227.0,111.3,113.5,,,3,114.0,111.0,227.0
10389752,2025-03-01,23,8,0.258,1659.0,214.2,207.4,1,8,28,207.0,214.0,1659.0
10389752,2025-05-01,31,0,0.0,0.0,197.3,,,,28,,197.0,0.0
10657645,2025-05-01,5,26,0.839,2888.0,110.7,111.1,1,18,3,111.0,111.0,2888.0
10389752,2024-09-01,29,1,0.033,120.0,120.5,120.0,1,26,,120.0,121.0,120.0
10657645,2024-09-01,28,2,0.067,199.0,99.6,99.5,11,2,,100.0,100.0,199.0
10389752,2024-12-01,0,31,1.0,6212.0,200.4,200.4,,,28,200.0,200.0,6212.0
6775797,2025-07-01,26,5,0.161,478.0,95.7,95.6,76,2,1,96.0,96.0,478.0
12856622,2025-06-01,30,0,0.0,0.0,88.7,,,,3,,89.0,0.0
6775797,2024-10-01,8,23,0.742,1773.0,76.8,77.1,96,3,,77.0,77.0,1773.0
12856622,2024-09-01,23,7,0.233,412.0,59.3,58.9,3,3,,59.0,59.0,412.0
12856622,2024-11-01,6,24,0.8,1289.0,52.3,53.7,12,8,,54.0,52.0,1289.0
6775797,2024-11-01,4,26,0.867,2196.0,84.3,84.5,22,6,,85.0,84.0,2196.0
12856622,2024-10-01,14,17,0.548,915.0,56.5,53.8,11,8,,54.0,57.0,915.0
12856622,2025-05-01,31,0,0.0,0.0,89.4,,,,3,,89.0,0.0
6775797,2025-02-01,8,20,0.714,1725.0,85.7,86.2,59,2,1,86.0,86.0,1725.0
6775797,2024-08-01,23,8,0.258,655.0,77.8,81.9,25,2,,82.0,78.0,655.0
6775797,2025-03-01,8,23,0.742,2072.0,88.7,90.1,28,2,1,90.0,89.0,2072.0
12856622,2025-01-01,5,26,0.839,2274.0,87.5,87.5,11,3,3,88.0,88.0,2274.0
6775797,2024-12-01,7,24,0.774,2059.0,85.8,85.8,25,2,1,86.0,86.0,2059.0
