listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
6848,Only 2 stops to Manhattan studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg,15,15991,Allen,"","",true,40.7094,-73.9534,3,2,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",false,30,Firm,USD,180,0,196,4.59,4.6,4.8,4.8,4.8,4.7,4.6,12816.0,12816.0,93.3,93.3,0.4,0.7,35.1,35.1,68.5,68.5,135,178,230,365,93.0,93.0,92.7,92.7,0.0,0.2,1.0,1.0,18.6,18.6,1,85,89,90
6990,UES Beautiful Blue Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/86985bff-befd-44c5-b6d9-c1f62504a35c.jpg,35,16800,Cynthia,"","",false,40.7878,-73.9476,,2,2,0.0,false,"Stove,TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Fire extinguisher,Kitchen,Room-darkening shades,Paid parking off premises,Hangers,Hair dryer,Hot water,Iron,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Heating,Clothing storage",false,30,Moderate,USD,0,0,253,4.88,4.8,5.0,5.0,4.9,4.8,4.8,15565.0,15565.0,72.9,72.9,0.6,0.7,42.6,42.6,48.3,48.3,213,43,152,365,3824.0,3824.0,71.7,71.7,0.6,1.0,42.5,42.5,69.5,69.5,53,35,37,90
7097,"Perfect for Your Parents, With Garden & Patio",Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/107655534/faa0ee03_original.jpg,29,17571,Jane,"","",true,40.6919,-73.9739,,,2,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Mini fridge,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Toaster",true,2,Flexible,USD,0,0,416,4.89,4.9,5.0,4.9,4.9,5.0,4.8,72818.0,72818.0,230.3,230.3,0.9,0.0,199.5,199.5,0.0,0.0,316,0,49,365,19479.0,19479.0,223.6,223.6,1.0,0.0,216.4,216.4,0.0,0.0,87,0,3,90
7801,Sunny Williamsburg Loft with Sauna,Entire place,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7801/original/f31c7201-7f25-41eb-a34a-cd39b498c585.jpeg,16,21207,Chaya,313584,Elie,true,40.7188,-73.9562,2,,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Shower gel,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,30,Strict,USD,295,0,13,4.91,4.8,4.9,4.7,4.8,5.0,4.9,13576.0,13576.0,319.0,319.0,0.1,0.2,37.2,37.2,56.1,56.1,42,123,323,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire loft,entire_home,https://a0.muscache.com/im/pictures/1d0d9773-c829-4031-8a57-96e321905a1c.jpg,58,25183,Nathalie,"","",false,40.6846,-73.9396,5,1,4,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Rice maker,Bathtub,Children’s books and toys,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,30,Strict,USD,135,0,190,4.77,4.8,4.9,4.7,4.9,4.7,4.8,2628.0,2628.0,175.5,175.5,0.0,0.1,7.2,7.2,25.0,25.0,15,260,350,365,516.0,516.0,169.9,169.9,0.0,0.1,5.7,5.7,22.4,22.4,3,67,87,90
9357,Midtown Pied-a-terre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/90036/4e606654_original.jpg,8,30193,Tommi,"","",false,40.7672,-73.9866,2,,1,1.0,false,"Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Ceiling fan,Pets allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",false,45,Strict,USD,100,0,58,4.52,4.7,5.0,4.2,5.0,5.0,4.6,2923.0,2923.0,183.1,183.1,0.0,0.1,8.0,8.0,11.2,11.2,16,105,349,365,1428.0,1428.0,178.7,178.7,0.1,0.0,15.9,15.9,0.0,0.0,8,0,82,90
10452,Radiant Oasis  B&B Style room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/16336319/ffaf266f_original.jpg,9,35935,Angela,"","",true,40.6829,-73.9568,,,2,0.0,false,"TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster",false,30,Strict,USD,0,5,82,4.66,4.5,4.7,4.6,4.8,4.4,4.7,8959.0,8959.0,82.2,82.2,0.3,0.8,24.5,24.5,64.5,64.5,106,226,259,365,0.0,0.0,66.9,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
12192,ENJOY Downtown NYC!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12192/original/0eea0b5f-5217-4aec-a206-c487234a6c6a.jpeg,12,46978,Edward,"","",true,40.7230,-73.9838,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",false,30,Flexible,USD,50,15,317,4.4,4.6,4.8,4.1,4.8,4.7,4.5,5804.0,5804.0,74.5,74.5,0.2,0.7,15.9,15.9,51.4,51.4,76,252,289,365,0.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/2053dcc6-7721-477f-b579-09ce4d4f7db5.jpg,24,50124,Orestes,"","",false,40.7476,-73.9457,,,2,0.0,false,"Wifi,Air conditioning,Books and reading material,Ceiling fan,Hot water,Body soap,Conditioner,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Dishes and silverware,Heating,Coffee,Clothing storage,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",true,3,Firm,USD,25,0,445,4.92,4.9,4.9,4.9,4.9,4.9,4.8,57832.0,57832.0,201.1,201.1,0.8,0.0,158.4,158.4,0.0,0.0,289,0,76,365,12540.0,12540.0,210.6,210.6,0.7,0.0,139.3,139.3,0.0,0.0,60,0,30,90
12940,Charming Brownstone 3 - Near PRATT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-12940/original/f27a1f49-11d3-45fa-83c2-b744d42bd07e.jpeg,26,50148,Adreinne,"","",false,40.6795,-73.9542,2,1,1,1.0,false,"Stove,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Kitchen,Essentials,Hangers,Hair dryer,Hot water,Iron,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven",false,30,Moderate,USD,100,0,81,4.56,4.6,4.7,4.5,4.6,4.1,4.4,25653.0,25653.0,127.6,127.6,0.6,0.8,70.3,70.3,103.0,103.0,202,116,163,365,7506.0,7506.0,127.1,127.1,0.7,1.0,83.4,83.4,127.2,127.2,59,31,31,90
