listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
57874,2024-12-01,4,27,0.871,3520.0,130.1,130.4,1,19,,130.0,130.0,3520.0
57874,2024-11-01,0,30,1.0,4042.0,134.7,134.7,,,,135.0,135.0,4042.0
151199,2025-03-01,31,0,0.0,0.0,201.5,,,,2,,202.0,0.0
57166,2025-02-01,25,3,0.107,378.0,123.1,126.0,,,30,126.0,123.0,378.0
151199,2025-01-01,30,1,0.032,154.0,137.1,154.0,,,2,154.0,137.0,154.0
151199,2025-02-01,28,0,0.0,0.0,131.0,,,,2,,131.0,0.0
151199,2025-06-01,18,12,0.4,2702.0,224.4,225.2,3,9,2,225.0,224.0,2702.0
151199,2025-07-01,9,22,0.71,5177.0,232.7,235.3,14,10,2,235.0,233.0,5177.0
151199,2024-09-01,30,0,0.0,0.0,173.9,,,,,,174.0,0.0
57166,2024-09-01,30,0,0.0,0.0,137.8,,,,,,138.0,0.0
57166,2025-05-01,20,11,0.355,1215.0,107.7,110.5,,,30,111.0,108.0,1215.0
57166,2025-04-01,0,30,1.0,3241.0,108.0,108.0,66,31,30,108.0,108.0,3241.0
151199,2025-05-01,31,0,0.0,0.0,215.6,,,,2,,216.0,0.0
57874,2024-09-01,1,29,0.967,3805.0,131.1,131.2,144,39,,131.0,131.0,3805.0
57166,2025-01-01,4,27,0.871,3023.0,112.3,112.0,18,30,30,112.0,112.0,3023.0
151199,2024-12-01,20,11,0.355,1735.0,158.2,157.7,3,12,,158.0,158.0,1735.0
57874,2025-01-01,10,21,0.677,2679.0,127.3,127.6,12,56,30,128.0,127.0,2679.0
57874,2025-04-01,10,20,0.667,2385.0,119.5,119.2,240,20,30,119.0,120.0,2385.0
57166,2025-03-01,3,28,0.903,3152.0,112.6,112.6,87,38,30,113.0,113.0,3152.0
57166,2025-06-01,30,0,0.0,0.0,118.6,,,,30,,119.0,0.0
57874,2025-03-01,6,25,0.806,2975.0,119.0,119.0,,,30,119.0,119.0,2975.0
57874,2025-02-01,0,28,1.0,3227.0,115.2,115.2,,,30,115.0,115.0,3227.0
57874,2024-10-01,0,31,1.0,4051.0,130.7,130.7,44,19,,131.0,131.0,4051.0
57874,2025-05-01,31,0,0.0,0.0,120.3,,,,30,,120.0,0.0
57166,2024-08-01,23,8,0.258,1056.0,127.9,132.0,,,,132.0,128.0,1056.0
57166,2024-11-01,4,26,0.867,3239.0,124.6,124.6,115,1,,125.0,125.0,3239.0
151199,2024-10-01,31,0,0.0,0.0,173.3,,,,,,173.0,0.0
57874,2024-08-01,31,0,0.0,0.0,136.3,,,,,,136.0,0.0
151199,2024-08-01,31,0,0.0,0.0,168.1,,,,,,168.0,0.0
151199,2024-11-01,30,0,0.0,0.0,167.7,,,,,,168.0,0.0
57874,2025-06-01,30,0,0.0,0.0,120.6,,,,30,,121.0,0.0
151199,2025-04-01,30,0,0.0,0.0,210.2,,,,2,,210.0,0.0
57166,2024-12-01,1,30,0.968,4085.0,135.6,136.2,24,30,,136.0,136.0,4085.0
57874,2025-07-01,26,5,0.161,613.0,121.2,122.6,191,30,30,123.0,121.0,613.0
57166,2025-07-01,31,0,0.0,0.0,116.2,,,,30,,116.0,0.0
57166,2024-10-01,27,4,0.129,507.0,140.1,126.8,116,29,,127.0,140.0,507.0
270345,2025-03-01,31,0,0.0,0.0,219.9,,,,30,,220.0,0.0
255476,2024-09-01,13,17,0.567,1593.0,94.0,93.7,1,32,,94.0,94.0,1593.0
255476,2025-07-01,20,11,0.355,1146.0,104.4,104.2,1,11,30,104.0,104.0,1146.0
270345,2025-05-01,31,0,0.0,0.0,220.9,,,,30,,221.0,0.0
255476,2025-04-01,30,0,0.0,0.0,101.6,,,,30,,102.0,0.0
270345,2024-12-01,31,0,0.0,0.0,217.3,,,,,,217.0,0.0
255476,2024-08-01,30,1,0.032,92.0,93.6,92.0,1,17,,92.0,94.0,92.0
270345,2025-01-01,31,0,0.0,0.0,215.6,,,,30,,216.0,0.0
255476,2024-12-01,18,13,0.419,1162.0,90.7,89.4,1,29,30,89.0,91.0,1162.0
270345,2024-09-01,30,0,0.0,0.0,219.2,,,,,,219.0,0.0
255476,2025-05-01,31,0,0.0,0.0,104.8,,,,30,,105.0,0.0
270345,2025-04-01,30,0,0.0,0.0,222.6,,,,30,,223.0,0.0
270345,2024-11-01,30,0,0.0,0.0,215.7,,,,,,216.0,0.0
255476,2025-03-01,31,0,0.0,0.0,101.1,,,,30,,101.0,0.0
255476,2024-11-01,2,28,0.933,2628.0,93.9,93.9,5,28,,94.0,94.0,2628.0
270345,2025-02-01,28,0,0.0,0.0,213.6,,,,30,,214.0,0.0
270345,2024-10-01,31,0,0.0,0.0,216.0,,,,,,216.0,0.0
270345,2025-06-01,17,13,0.433,2847.0,219.4,219.0,1,13,30,219.0,219.0,2847.0
255476,2025-01-01,1,30,0.968,2606.0,86.9,86.9,1,30,30,87.0,87.0,2606.0
255476,2024-10-01,0,31,1.0,2913.0,94.0,94.0,,,,94.0,94.0,2913.0
255476,2025-06-01,30,0,0.0,0.0,104.4,,,,30,,104.0,0.0
270345,2025-07-01,31,0,0.0,0.0,217.6,,,,30,,218.0,0.0
270345,2024-08-01,31,0,0.0,0.0,219.1,,,,,,219.0,0.0
255476,2025-02-01,12,16,0.571,1418.0,90.4,88.6,,,30,89.0,90.0,1418.0
219066,2025-06-01,30,0,0.0,0.0,91.7,,,,30,,92.0,0.0
219066,2025-05-01,31,0,0.0,0.0,93.8,,,,30,,94.0,0.0
219066,2025-03-01,31,0,0.0,0.0,107.6,,,,30,,108.0,0.0
219066,2025-02-01,18,10,0.357,1076.0,88.5,107.6,,,30,108.0,89.0,1076.0
219066,2024-10-01,8,23,0.742,2574.0,111.7,111.9,61,23,,112.0,112.0,2574.0
219066,2024-12-01,31,0,0.0,0.0,111.8,,,,,,112.0,0.0
219066,2024-08-01,15,16,0.516,1749.0,108.5,109.3,22,1,,109.0,109.0,1749.0
219066,2025-01-01,0,31,1.0,3410.0,110.0,110.0,130,41,30,110.0,110.0,3410.0
219066,2024-11-01,15,15,0.5,1700.0,113.8,113.3,,,,113.0,114.0,1700.0
219066,2025-04-01,29,1,0.033,111.0,101.2,111.0,14,1,30,111.0,101.0,111.0
219066,2024-09-01,0,30,1.0,3304.0,110.1,110.1,8,45,,110.0,110.0,3304.0
219066,2025-07-01,31,0,0.0,0.0,87.2,,,,30,,87.0,0.0
816888,2024-10-01,13,18,0.581,1403.0,77.8,77.9,1,19,,78.0,78.0,1403.0
816888,2025-01-01,31,0,0.0,0.0,70.6,,,,30,,71.0,0.0
34760,2024-10-01,29,2,0.065,149.0,73.1,74.5,1,77,,75.0,73.0,149.0
816888,2025-04-01,30,0,0.0,0.0,82.6,,,,30,,83.0,0.0
816888,2024-12-01,16,15,0.484,1120.0,73.4,74.7,,,30,75.0,73.0,1120.0
816888,2024-08-01,1,30,0.968,2138.0,71.5,71.3,,,,71.0,72.0,2138.0
34760,2025-04-01,25,5,0.167,382.0,76.0,76.4,23,5,30,76.0,76.0,382.0
253803,2025-06-01,28,2,0.067,886.0,443.5,443.0,5,2,1,443.0,444.0,886.0
253803,2025-03-01,31,0,0.0,0.0,314.1,,,,1,,314.0,0.0
34760,2025-05-01,31,0,0.0,0.0,78.0,,,,30,,78.0,0.0
253803,2024-09-01,23,7,0.233,3006.0,422.8,429.4,45,2,,429.0,423.0,3006.0
253803,2025-04-01,30,0,0.0,0.0,419.4,,,,1,,419.0,0.0
253803,2024-10-01,23,8,0.258,3559.0,435.9,444.9,12,2,,445.0,436.0,3559.0
